sentence,emotion
i feel like i ve been convinced by some indian guys to go horseback riding with the dalton brothers in cappadocia,joy
i love the insular feel of island living how genuinely weird islanders are it seems to be a prerequisite that you have to be a little off kilter to choose living somewhere one can only access by boat and of course i love being surrounded by the ocean,fear
i have a feeling that she wasnt thrilled,joy
i have to say since i am feeling so good about myself i have been making time to look more fashionable cute lately,joy
i feel deeply disturbed that young canadian university students arrive at university ready to expound rape culture,sad
i feel rude but i think the host felt like they had to cook me some fang dangle vego meal which really is never the case,anger
i don t like is feeling punished for being vegan,sad
i have a bad feeling about all this fans will be amused or something,joy
i feel like adding distressed leather and leather straps to my designs,fear
i managed to reach there for final call clutching a brie and bacon wrap and feeling rather pleased with myself,joy
i feel disappointed in people is putting it mildly however the truth is that i went down south to metaire louisiana for what i thought would be a fun filled action packed all star weekend of everything that is healthy wealthy wise and fun in recovery,sad
i feel remorseful is to trusting adults of mexico,sad
i didnt want to stay in there feeling bad cause i didnt study enough,sad
i feel like it was a real eca production because the people i admired most and loved working with the most are now gone,joy
i am angry and sad and feel generally pissed off,anger
i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,suprise
i realized as soon as i set foot in my first yoga studio that i would feel so much more comfortable with students that were my body type,joy
i feel at ease in caring for her,love
i feel weird like my eyes have been opened up,fear
i know how i feel around those women and i want my children to feel that way around me calm safe loved at peace clean healthy strong beautiful glorious,joy
i just feel so unimportant now its like all of my friends have boyfriends and i know things like that will come and go but i havent had a boyfriend since the th grade,sad
i wan knew he was breaking the jedi code but his emotions and feelings for padme tortured him and he always gave into those desires though he knew he shouldn t have,fear
i see that through waiting it out on some of these desires and wrestling through the questions and feelings of purpose i see that god has been faithful and has now made a way for it to happen,love
i hope you are all well this is going to be a quick one as i feel awful at the moment and worst of all i cant seem to make anything good at the moment either,sad
i suppose its the curse of all metropolitan city where variety of options make one feel restless,fear
i feel that i am doing something worthwhile with my life,joy
i feel offended and gross i guess,anger
i find it equally ironic that someone feeling so intimidated by words would be proposing the very use of words to intimidate others,fear
i feel so virtuous when i am able to use things up and have the fridge basically cleaned out each week before i go grocery shopping,joy
i feel entertained and educated,joy
i feel is largely determined by what i think and therefore i can choose thoughts that engender good feelings knowing i can do this at anytime allows me to feel free and in a state of self awareness wherein i am the manager and creator of my personal universe,joy
i feel a very special gratitude to be alive to celebrate this and other events,joy
i think i hope thats what i do when reviewing the sort of book that i read from them so far their books have always intrigued me enough to make the authors goal feel like a vital and rewarding part of reading,joy
i finish reading a book i feel listless and directionless until i find the next book,sad
i feel glad its over,joy
i feel like a suspicious neer do well lurking in the baggage claim,fear
i just feel resentful and show my resentment by eating tempura and sundaes,anger
i feel bad youre there,sad
i feel successful in that some of my children have made major jumps in l areas of the curriculum,joy
i will admit that i do feel a little envious when i hear of young writers who do so well,anger
before going to the dentist,fear
i forget how good it feels to be admired its nice to feel so embraced by so many people where i come from people who often have known me my entire life,joy
i might be feeling and to trust that god has a perfect plan,joy
i feel resolved on my waking issues and also like i can make a decision without flip flopping,joy
i think shed feel triumphant,joy
i feel uncertain about a lot of what the future holds but i am confident that i have sorted out one of the most important,fear
i feel not heartless because my heart hurts so i still feel it i feel so much pain,anger
i read this article i began to feel hurt pain anger bitterness and frustration,sad
i feel very proud and i m very glad that i had the opportunity to do something for honour and humanity,joy
i hung up feeling a lump in my throat never a pleasant feeling,joy
i was feeling rotten and i wanted someone to make me feel better and i knew that with a few noncommittal responses he d do just that,sad
i just cannot fathom the fears and heartaches of tending to a sick child how it must feel to be so helpless,fear
i feel has always been real but it has been rejected denied and placed as second best,sad
i feel resolved now,joy
i am not a touchy person and when i am feeling needy my eew y actions will only be directed to people who matter,sad
i feel distressed that china has lost much to the cultural revolution,fear
i am conscious of with a lack of passion feelings of loneliness doubtful and overwhelmed,fear
i feel regretful enough,sad
i would feel this way over a wonderful day drinking and laughing with friends but for someone who has been so consumed in their past with body perfection and restrictive eating weekends like this are a true measure of where i am in my recovery,joy
i dont know that well ever resolve our differences on earth but i feel less burdened with a need for it,sad
i feel uncomfortable telling the story,fear
i suddenly feel anxious and depressed,fear
i just feel seriously doomed,sad
i think too much about the emotion i am feeling therefore i am convinced that i am not really experiencing the emotion,joy
i feel a sweet sense of optimism touched with anxiety about the coming days,joy
i feel isolated being all the way out here when a lot of the jets working in this city are closer to the center but on the other hand there are a lot of stores around,sad
i don t have any clues about that but i do know that the neighborhood where the the police pulled that boy out of feels dangerous,anger
im trying my best to stop myself from having such strong feelings for him because that will be too dangerous,anger
i feel the need to say something here by way of acknowledgement of this reality not because i have any useful thoughts to contribute to the public discussion but simply to pay respect to the dead and dying,joy
i feel is the unfortunate fate of nin,sad
i know it must make you feel very unhappy,sad
i was feeling so shitty today but i finally got it,sad
i feel children in other towns of karnataka are deprived of good entertainment,sad
im going to be honest in saying that i went into the appointment already discouraged defeated and not feeling hopeful,joy
ive been to pulau payar already and its off langkawi not kota kinabalu i corrected her secretly feeling smug,joy
i just love the month of may when colors are popping up everywhere buds are turning into blossoms and finally wearing sandals does not feel so ludicrous,sad
i have this feeling that shes really keen on me,joy
i feel ugly aged fat indulgent unappreciated and seriously,sad
i think im going to bad touch the ever loving crap out of it and dry hump it until it starts to feel dirty about itself and feels bad about existing,sad
i feel that vinod himself has to be blamed for his eventual downfall,sad
im feeling that way because there is a part of me suffering or dying,sad
i feel pretty lame about it but if i have a few m amp ms the feeling is quickly replaced by the euphoria i get from the evil white stuff,sad
i feel like a soda in a can shaken turbulently and flew violently out of its container the moment it felt air exchanging its freedom to you,fear
i am feeling fine but i have a toothache for the last three days and will hopefully go to the dentist today,joy
ive had years literally of overwhelming exhaustion months of feeling isolated and lonely and days when i just want to run out the front door and never come back again but ive also shared so many wonderful memories with my kids,sad
i feel like the house is so dirty at the moment you probably dont need to know this,sad
im glad they exist because i get good ideas from them but they sure make me feel like a lousy mother,sad
i feel really scared instead,fear
i gave proper credit so do not sue me for i am poor those jokers appear to be happier than any worldly human but when they are upset they usually feel more devastated than anyone else,sad
i feel perfectly safe in my village and with pc s communication with me,joy
i feel exhausted but also on top of the world,sad
i run because i feel like its something in my life that god uses to teach me maybe when you are as stubborn and prideful as i am it takes miles to learn something,anger
i have yet to feel homesick at all although i do miss chipotle and my best friend angela luckily we talk daily,sad
im also feeling a little suspicious and im not sure why,fear
i feel like she is more agitated or bossy not all the time but when she is its a turn off kinda getting old i dunno just talking out loud right now,fear
i certainly feel it is important to cultivate this,joy
i feel that he should be considerate of my needs as much as i am for his,joy
i guess its time to start feeling festive,joy
i feel very privileged to be raising two smart and precious girls,joy
i feel quite pathetic,sad
i just really admire this piece and feel as though i need a picture in my posts isnt it just divine,joy
i should feel the confidence pour out from your words throughout showing that you have knowledge of the topic and am thereby convinced that your position on the topic is the right one,joy
i feel so bad because i cant be there for her either physically or emotionally,sad
i feel dirty and inadequate,sad
i feel like ive caused someone to feel like i ignored them,sad
i was at my highest weight and feeling miserable from all the prednisone,sad
i feel like people have accepted me into the community and are opening up more and more in their interactions with me,love
i feel i owe it to you as a loyal reader and friend,love
i feel so loving to everyone and i am so grateful for everything i have,love
