ItemID,Sentiment,SentimentText,clean_text,sentiment
58311,1,@belindaaaa no probs!  keep me updated!,no probs keep me updated,neutral
852403,0,i miss tweeting ,i miss tweeting,negative
73839,1,@canyonsdave Thanks for the video - Now I just need to get a grant or something for some iPod touches...  ,thanks for the video now i just need to get a grant or something for some ipod touches,neutral
632402,1,been doing a lot of preparations for school.. buying school supplies.. and doing some andvance reading.. gosh.. i'm so excited! ,been doing a lot of preparations for school buying school supplies and doing some andvance reading gosh im so excited,neutral
945425,0,Im so tired. I dont wanna go to work  ugh guess i should go now.,im so tired i dont wanna go to work ugh guess i should go now,negative
837308,0,http://www.jamlegend.com/tutorial/guitar - Looks like I need tutorial.  Haha.,looks like i need tutorial haha,negative
676677,1,Feeling like a champion this morning!! ,feeling like a champion this morning,neutral
55540,1,@B3M thanks.... i think? ,thanks i think,neutral
835799,1,http://twitpic.com/6iqnm - NFS - Underground 2 Finished! ,nfs underground finished,neutral
136596,1,@drhett Not yet. I hope to check it out this week. ,not yet i hope to check it out this week,neutral
481732,0,@TheMandyMoore the download isn't working  Performance is spectacular!,the download isnt working performance is spectacular,negative
972529,0,I've been blocked. KELLY BAYLESS is an asshat.   (I love you Kelly.),ive been blocked kelly bayless is an asshat i love you kelly,negative
371107,1,"@MissMagpieFGS Awesome, please keep me updated! ",awesome please keep me updated,neutral
950228,1,just found out my sister and nefews tested negative for swine flu ,just found out my sister and nefews tested negative for swine flu,neutral
828394,0,"@heyagainlando Their inability to manage money, tough job market, and they're getting behind on bills. This is why no savings is bad ",their inability to manage money tough job market and theyre getting behind on bills this is why no savings is bad,negative
353019,1,@Mayzie27 Me too...run that is ,me toorun that is,neutral
579508,0,@AlexAllTimeLow do i have to tweet you 5 million times a day and be upset you don't reply back to get a reply? ,do i have to tweet you million times a day and be upset you dont reply back to get a reply,negative
356079,1,@nooshin63 you are lazy ! coz you must say : Oh god i wanna stay in office but you don't say  .,you are lazy coz you must say oh god i wanna stay in office but you dont say,neutral
343815,0,@love_primaDONNA i miss it so much ,i miss it so much,negative
897656,1,"I'm thankful that I'm not a person who usually breaks down into tears. Sometimes, maybe. But I don't cry like it's the end of the world. ",im thankful that im not a person who usually breaks down into tears sometimes maybe but i dont cry like its the end of the world,neutral
691737,1,downloading me some music. ,downloading me some music,neutral
100141,0,@beccaecca Awww... I'm sorry to hear that  Did the workout help?,awww im sorry to hear that did the workout help,negative
557271,0,accidentally super glued my fingers together ,accidentally super glued my fingers together,negative
93253,1,@baxters Do you have the entire list of 70 - I'd love to see it! email me! ,do you have the entire list of id love to see it email me,neutral
533676,1,alrite looking thru one more lecture and then I'm done with cardio for the day  Dam you Na-channel blockers + water!,alrite looking thru one more lecture and then im done with cardio for the day dam you nachannel blockers water,neutral
372283,0,"@philcr In truth I'm really looking forward to the E3 briefing - will miss it live, as I'll still be at work ",in truth im really looking forward to the e briefing will miss it live as ill still be at work,negative
611455,1,Clay just tried to eat a wasp. crap. should be a good morning...tonight is what's it about ,clay just tried to eat a wasp crap should be a good morningtonight is whats it about,neutral
457458,1,"@sumudu Oh well, someone thought you didn't need that &quot;u&quot; ",oh well someone thought you didnt need that quotuquot,neutral
576560,1,"Bar was full at #wvfn, so I am craning my already sore neck to see the game. Can't hear anything but geek speak tho!  #gonuggets",bar was full at so i am craning my already sore neck to see the game cant hear anything but geek speak tho,neutral
604534,1,Being a crazy girlfriend and surprising Evan by being at his car when he walks out ,being a crazy girlfriend and surprising evan by being at his car when he walks out,neutral
292690,0,@MadamQ oh god yes! Im wanting a bra and girdle set for my pinup photos... but they dont seem to sell the one i want anymore ,oh god yes im wanting a bra and girdle set for my pinup photos but they dont seem to sell the one i want anymore,negative
531245,1,@xtrmlyincredbly Subconscious way of telling you not to see Up? ,subconscious way of telling you not to see up,neutral
183531,1,@HeathCastor  mhmmm,mhmmm,neutral
279756,0,"@loopylauren haha, thanks.  i wanted to go bowling.  no one invited me ",haha thanks i wanted to go bowling no one invited me,negative
948758,1,Just finished downloading Door to Door. I'm going to save it for tomorrow in between classes so I have an excuse to put off studying. ,just finished downloading door to door im going to save it for tomorrow in between classes so i have an excuse to put off studying,neutral
213191,1,@gisellenguyen i'm a frequent at the computers at the sando on a friday and i like to get girls heated online and scream out loud ,im a frequent at the computers at the sando on a friday and i like to get girls heated online and scream out loud,neutral
545109,0,"Apparently, the new Kylie Minogue album comes out next Spring. I don't think I can wait that long! ",apparently the new kylie minogue album comes out next spring i dont think i can wait that long,negative
